직업코드	직업명	등급	직업기술서	예시
28143	칼럼니스트	A	관련 지식이나 판단 및 경험을 토대로 미술, 음악, 연극, 영화 등 예술분야의 작품 가치를 평가하고 평론하는 원고를 작성하거나, 그를 각종매체에 기고하거나 발표하는자를 말한다	신문논설위원, 방송논설위원
28151	출판물 기획 및 편집가	A	신문이나 정기간행물 등에 게재하기 위하여 제출된 기사, 사설등의 자료, 방송을 위해 취재·제출된 기사자료와 서적 발간을 위해 제출된 각종 원고등을 선정,정리 및 편집하는 자를 말한다.	도서기획자, 잡지기획자, 출판물기획자,교열기자, 교정기자, 교정편집자, 논평편집자, 뉴스지면편집자, 도서편집자, 만화편집가, 사전편집자, 색인편집자,인쇄출판, 서적편집자, 언론연구서편집자, 잡지편집기사, 잡지편집자, 잡지편집장, 전산편집자, 전자출판편집장, 정기간행물편집자, 증권간행물발간원,편집, 출판물편집자, 출판물편집장, 패션잡지편집자, 편집원, 편집자
28211	학예사(큐레이터)	A	미술관 또는 박물관에서 미술 수집품이나 문화적, 역사적으로 중요한 품목을 수집하여 체계적으로 분류하고 목록작성을 지휘하며 전시를 기획하는 자를 말한다	curator, 미술큐레이터, 미술품보존전문가, 박물관관리원, 박물관관리인, 박물관섭외원, 예술품전시기획원, 유물관리원, 전시기획가,미술관및박물관, 전시기획원,미술관및박물관, 전시장관리원,미술관및박물관, 전시장기획원,미술관및박물관, 전시책임자,미술관및박물관, 큐레이터, 학예사, 행사장기획원,미술관및박물관, 화랑관리원, 화랑관리인
28212	문화재 보존원	A	문화적 가치가 있는 유형·무형의 소산물로서, 궁궐, 사찰, 미술품, 공예품, 서적 등의 유형문화재를 보존하고 수리하는 자를 말한다. 문화재보존원은 문화재수리기술자와 문화재수리기능자로 구분된다. 문화재수리기술자는 각 분야에 대한 기술적 자문을 하고, 각종 공사와 문화재수리기능자에 대한 관리·감독을 한다. 분야에 따라 원형고증조사 혹은 전통기법의 연구·조사·제작의 업무를 한다. 문화재수리기능자는 각 분야에 대한 실제적인 수리와 시공·제작 업무를 한다. 단, 전통건물건축원 제외	도자기복원기술자, 문화재관리원, 문화재발굴조사원, 문화재보존가, 문화재보존연구원, 문화재보존원, 문화재보존전문가, 문화재복원기술자, 문화재수리기능자, 문화재수리기술자, 문화재수리원, 문화재연구원,보존, 미술공예문화재연구원,보존, 보존과학자,문화재, 보존처리기술자,문화재, 예술품관리원,수리, 예술품보존과학자, 예술품보존처리기술자, 예술품복원기술자, 예술품복원전문가, 컨서베이터
28221	사서	A	장서,정기간행물,기록문헌 등을 체계적으로 정리하여 도서관 이용자에게 제공하는 자로서 장서의 취득,분류,목록작성 및 진열 등의 업무를 수행하는자를 말한다	고서분류사서,  대출담당사서, 도서관사서교육사, 도서대출사서, 도서분류사서, 도서자료사서, 도서정보처리사서, 동양서분류사서, 동양서정리사서, 무역정보사서, 방송자료사서, 비도서분류사서, 비도서정리사서, 사서교사, 서양서분류사서, 서양서정리사서, 선생,사서, 수서담당사서, 영상자료사서, 음향자료사서, 점자도서사서, 정리담당사서, 참고사서, 참고상담원 사서
28222	기록물관리사	A	역사적으로 가치 있는 각종 형태의 기록물을 수집하여 체계적으로 정리하고 보존하며 수집물의 목록, 서지학, 마이크로필름 복사물 및 관련 자료의 작성을 지휘하거나 직접 수행하며, 이를 이용자에게 제공하는 자를 말한다.	경제사기록보관인, 공무원,편사연구직, 기록물관리사, 기록물관리원, 기록물보관원, 기록보관원, 문서보관원, 아키비스트, 정치사기록보관인
28311	감독 및 연출가	A	영화, TV프로그램, 광고 등을 제작하기 위해 시나리오를 검토하고, 영화배우를 결정하며, 촬영 및 기술을 지휘하는 등 영화제작의 모든 과정을 감독, 지휘하는 자를 말한다	AD(Assistantdirector), AudioProducer, CF감독, PD,프로듀서, PD,영화예술, 감독,TV·영화, 게임PD, 게임방송연출가, 게임연출자, 게임제작감독, 게임프로듀서, 광고제작연출감독, 교양프로그램연출가, 다큐맨터리감독, 다큐멘터리연출가, 드라마감독, 드라마연출가, 라디오PD, 라디오연출가, 만화영화감독, 만화영화연출가, 방송PD, 방송무대연출가, 방송연출가, 방송연출자, 방송영화연출가, 방송제작가, 방송촬영감독, 방송프로듀서, 보조PD, 보조프로듀서, 보컬프로듀서, 상업용영상물제작감독, 스포츠방송연출가, 어린이프로그램연출가, 연극감독, 연극연출가, 연극연출자, 연출가,TV, 영화PD, 영화감독, 오락프로그램연출가, 웹방송PD, 웹방송연출가, 웹방송프로듀서, 웹프로듀서, 웹피디, 음반제작PD, 음반제작연출가, 음반제작프로듀서, 음악프로듀서, 조감독, 조연출, 조연출가, 컴퓨터애니메이션감독, 컴퓨터애니메이션연출자, 텔레비전감독, 텔레비전연출가, 편성PD, 프로듀서, 피디,영화예술
28312	기술감독	B	영화, TV프로그램, 광고 등을 제작에 필요한 촬영, 무대장치, 편집, 음향, 조명등의 기술적인 업무를 계획하고 지도·조정하는 자를 말한다.	광고오디오디렉터, 광고음향PD, 광고촬영감독, 기술감독, 기술총감독, 무대감독, 미술감독, 미술감독,연극, 미술감독,영화, 방송기술감독, 영상감독, 영화촬영감독, 오디오디렉터, 오디오피디, 음악감독, 음향감독, 조명감독, 촬영감독, 카메라감독, 텔레비전촬영감독, 특수영상감독, 특수영상전문가, 편집감독, 프로덕션디자이너
28321	배우	B	영화, 연극, TV드라마 등에 등장인물로 출연하여 연기하는 자를 말한다.	단역배우, 뮤지컬니스트, 뮤지컬배우, 배우, 배우,영화텔레비전, 아역배우, 엔터테이너,배우, 연극배우, 영화배우, 재연배우, 탈렌트, 탤런트
28322	개그맨 및 코미디언	C	방송이나 기타 공연장소에 출연하여 우스운 말과 몸짓으로 청중을 웃기는 자로 희극적인 주제에 따라 청중을 웃길 수 있는 말과 몸짓을 개발하고 즉흥적인 연기를 한다.	강담가, 개그맨, 개그우먼, 만담가, 엔터테이너,개그맨, 코메디언, 코미디언, 희극배우
28323	모델	C	의상 및 액세서리 등을 착용하고 사진, 영화, 비디오 등을 통한 광고 또는 예술창작을 위하여 자세를 취하는 자를 말한다. 자세나 표정, 소품 등을 활용하여 상품의 스타일과 특징을 가장 잘 보이도록 한다. 내레이터모델(행사 및 홍보도우미)은 제외한다.	광고모델, 부분모델, 예술모델, 의류진열모델, 의상모델, 패션모델
28324	성우	A	라디오 방송극, 더빙영화, 만화영화, 광고 등에서 목소리만 연기를 하는 자를 말한다.	더빙배우, 목소리배우, 성우
28331	아나운서	A	준비된 뉴스, 광고, 특별 공지사항 등의 원고를 읽거나 기타 방송 프로그램의 진행을 통해 중요한 정보와 새로운 소식을 전해 주는 직무를 수행하는 자를 말한다.	TV아나운서, 뉴스아나운서, 뉴스앵커, 뉴스캐스터, 라디오뉴스진행자, 라디오아나운서, 방송mc, 방송아나운서, 방송프로그램사회자, 사회자, 아나운서, 앵커, 진행자,아나운서, 텔레비전아나운서
28332	리포터	A	뉴스가 아닌 시사나 교양 프로그램 등에서 탐방기나 체험기, 정보 전달 역할을 수행하는 자를 말한다.	라디오리포터, 리포터, 방송리포터
28333	쇼핑호스트	A	홈쇼핑 방송에서 상품을 소개하고 판매하는 자를 말한다.	TV홈쇼핑판매원, 쇼핑가이드,홈쇼핑, 쇼핑호스트, 쇼호스트
28334	방송 진행자	A	라디오,텔레비전에서 교양,오락(음악)등의 프로그램을 진행,출연진이나 연예인을 소개, 쇼나 프로그램의 진행하는자를 말한다. 또한 음악을 소개하거나 관련 정보를 제공하거나 프로그램을 진행하는 자를 말한다	MC
28340	촬영기사	B	촬영기술에 관한 지식을 기초로 영화카메라, 스튜디오카메라(비디오)등의 촬영 장비를 조작하는 자를 말한다.	3D리그기사, 3D촬영기사, TV촬영기사, 광고촬영기사, 김벌촬영기사, 녹화기사, 만화영화촬영기사, 메이킹필름제작자, 모션컨트롤기사, 방송촬영기사, 방송카메라촬영기사, 비디오아트작가, 비디오촬영기사, 비디오카메라맨, 비디오테이프녹화기사, 수중촬영기사, 슈퍼크레인기사, 스콜피오헤드기사, 스테디캠기사, 영화촬영기사, 영화촬영사, 이엔지카메라맨, 자막촬영기사, 지미집기사, 촬영기사, 촬영기사,TV, 촬영기사,광고, 촬영기사,비디오, 촬영기사,영화, 촬영기자, 촬영조수, 카메라기자, 카메라맨, 키그립,달리그립기사, 테크노크레인기사, 특수촬영기사, 특수효과촬영기사, 특수효과촬영원, 항공촬영기사, 드론촬영기사, 헬리캠촬영기사, 무인항공촬영기사, 행사촬영기사
28350	음향 및 녹음 기사	B	영화 또는 방송 드라마, 음반을 제작하기 위하여 음향장비와 녹음장비를 조작하는 자를 말한다	ADR에디터, Soundeffectdesigner, TV스튜디오음향기사, 광학녹음기사, 녹음기사, 녹음기술자, 녹음영사기사, 녹음영상기사, 더빙기사, 동시녹음기사, 동시녹음기사,영화예술, 라디오스튜디오음향기사, 라인맨, 무대음향기사, 무대음향효과기사, 믹서,음향, 믹싱엔지니어,음향, 방송음악기사, 방송음향기사, 붐어시스트, 붐오퍼레이터, 사운드디렉터, 사운드디자이너, 사운드믹서, 사운드믹싱공, 사운드믹싱녹음장비운영원, 사운드믹싱녹음장비조작원, 사운드엔지니어, 사운드이펙트디자이너, 사운드효과슈퍼바이저, 사운드효과에디터, 생음향효과기사, 생음향효과원, 생효과음향기사, 스코어링믹서, 씨디복사원, 영상음악녹음기사, 오디오엔지니어, 옵티컬사운드녹음기사, 원반제작원, 음반녹음기사, 음반녹음장비기사, 음반녹음장비운영원, 음반녹음장비조작원, 음향기사, 음향기사,녹음, 음향기사,녹화, 음향기사,사운드믹싱, 음향녹음기술자, 음향녹음장비기사, 음향녹음조정원, 음향시험기술공, 음향엔지니어, 음향혼합원, 음향효과기사, 음향효과기술공, 음향효과원, 카세트테이프복사원, 테이프녹음감독, 테이프녹음기사, 테이프녹음반장, 테이프녹음장비기사, 테이프녹음장비운영원, 테이프녹음장비조작원, 테이프로딩원, 테이프복사원, 테이프와인딩원, 텔레비전스튜디오음향기사, 폴리슈퍼바이저, 폴리아티스트, 폴리아티스트,방송효과, 행사음향효과기사, 행사음향효과원, 휴대폰벨소리제작자
28360	영상·녹화 및 편집 기사	A	방송 프로그램의 송신신호를 조절하기 위하여 조정판(콘솔)을 조작하거나 영화, 방송에 쓰이는 필름, 비디오테이프 등의 영상을 대본에 맞게 편집장비를 조작하여 편집하는 자를 말한다.	검척사,영화예술, 광고편집기사,영상물, 네거티브편집기사, 녹화엔지니어, 더빙기사,영화예술, 더빙기운영원, 더빙기조작원, 디지털영상편집가, 레코딩엔지니어, 리코딩엔지니어, 방송편집기사, 비디오테이프복사원, 비디오테이프편집원, 비디오편집기사, 비디오편집원, 영상기사, 영상녹화및편집기사, 영상제작물변환기사, 영상편집가, 영상편집기사, 영상편집원, 영상효과원, 영화예고편제작자, 영화편집기사, 컴퓨터애니메이션특수효과원, 컴퓨터애니메이션편집기사, 키네코기사, 텔레시네감독,영화, 텔레싱기사, 특수효과설치감독, 특수효과원, 퍼핏애니메이터, 편집기사, 편집기사,영화, 편집조수, 표준테이프제작원, 픽처에디터, 필름편집감독, 필름편집기사, 필름편집원
